AC No,Constituency,District,Total Voters 2019,Votes Cast 2019,TMC 2019,BJP 2019,Other1 Party 2019,Other1 Votes 2019,Other2 Party 2019,Other2 Votes 2019,Other3 Party 2019,Other3 Votes 2019,Total Voters 2021,Votes Cast 2021,TMC 2021,BJP 2021,Other1 Party 2021,Other1 Votes 2021,Other2 Party 2021,Other2 Votes 2021,Other3 Party 2021,Other3 Votes 2021,Total Voters 2024,Votes Cast 2024,TMC 2024,BJP 2024,Other1 Party 2024,Other1 Votes 2024,Other2 Party 2024,Other2 Votes 2024,Other3 Party 2024,Other3 Votes 2024,Total Voters 2026,Votes Cast 2026,Male 2026,Female 2026,Third Gender 2026,Vote Drop/Margin 21-26,Vote Drop/Margin 24-26
119,Barasat,North 24 Parganas,263418,214334,93023,89433,AIFB,21033,INC,3740,BSP,1338,279592,225707,104431,80648,AIFB,34171,IND,1339.0,BSP,940.0,288349,231649,100548,97376,AIFB,21900,AISF,5613,IND,1497,252439,234238,126025,126398,16,-0.36,-0.82
120,Deganga,North 24 Parganas,230568,192569,114715,40809,AIFB,19298,INC,11576,BSP,1611,242652,214380,100105,38446,RSSCMJP,67568,AIFB,2942.0,BSP,1354.0,252267,216879,110627,42382,AISF,50249,AIFB,7838,IND,1887,240007,232447,124607,115396,4,-0.56,-0.26
121,Haroa,North 24 Parganas,246768,208608,134543,36995,INC,17209,CPI,11949,IND,3798,259206,227395,130398,38506,RSSCMJP,49420,IND,2484.0,UTSAP,2401.0,269049,229136,145356,34235,AISF,34365,CPI(M),7470,IND,5602,243400,236926,127503,115892,5,-0.12,-0.07
122,Minakhan,North 24 Parganas,225814,196868,118433,51867,CPI,10387,INC,8492,IND,3809,236528,212352,109818,53988,CPI(M),44606,,,,,246513,213843,122957,51789,AISF,25204,IND,5844,CPI(M),5625,222011,214840,119376,102631,4,-0.04,-0.01
123,Sandeshkhali,North 24 Parganas,229369,197486,103600,76688,CPI,5545,IND,4400,INC,2822,238633,205787,112450,72765,RSSCMJP,14387,IND,3729.0,,,245817,201966,87475,95862,AISF,7566,IND,5259,CPI(M),3825,223269,214093,117641,105623,5,-0.21,
124,Basirhat Dakshin,North 24 Parganas,264856,224593,105406,90506,INC,13949,CPI,8366,IND,3154,275934,235737,115873,91405,INC,23089,BSP,1470.0,SUCI,1347.0,280513,235764,110182,95159,CPI(M),12129,AISF,11330,IND,4777,260361,248489,132772,127583,6,-0.52,-0.85
125,Basirhat Uttar,North 24 Parganas,255167,220870,127736,44980,INC,30408,CPI,12119,IND,2535,268034,238426,137216,47505,RSSCMJP,47865,IND,3888.0,,,277849,237462,134562,51607,CPI(M),22574,AISF,21991,IND,4599,245388,237094,126777,118608,3,0.01,0.0
126,Hingalganj,North 24 Parganas,220840,183479,95986,73759,CPI,6081,IND,2745,INC,1968,228508,194681,104706,79790,CPI,6008,IND,1158.0,BSP,850.0,234365,187472,91714,81207,CPI(M),7190,IND,3176,AISF,2695,215122,205248,112034,103084,4,-0.42,-1.69
127,Gosaba,South 24 Parganas,221014,183191,101522,72236,RSP,3713,INC,1267,BSP,1264,230348,195808,105723,82014,RSP,4871,BSP,1271.0,SUCI,912.0,237350,186486,101627,74775,AISF,3171,IND,2311,RSP,2018,221332,209181,115665,105663,4,-0.56,-0.85
128,Basanti,South 24 Parganas,241460,190021,113384,56927,RSP,12539,BSP,1609,INC,1515,260681,213910,111453,60811,RSP,36688,IND,2363.0,SUCI,688.0,273323,209347,132044,54043,AISF,12304,IND,3934,RSP,3449,240303,230042,125989,114312,2,-0.32,-0.27
129,Kultali,South 24 Parganas,248511,202429,87106,78695,SUCI(C),21949,RSP,10125,INC,1403,265561,227351,117238,70061,CPI(M),20010,SUCI,15306.0,IND,1452.0,284695,223115,118358,79951,AISF,9306,SUCI,6240,RSP,3734,261736,251240,138128,123591,17,-0.51,-0.73
130,Patharpratima,South 24 Parganas,252617,217376,113060,77281,CPIM,17138,INC,5988,IND,990,263675,231786,120181,98047,INC,10182,SUCI,1664.0,LKSAMYP,498.0,272188,224162,114889,89717,CPI(M),9103,AISF,5575,IND,2046,257704,244716,135804,121898,2,-0.58,-0.82
131,Kakdwip,South 24 Parganas,234574,204223,106230,80747,CPIM,9730,INC,4121,IND,1165,247826,219597,114493,89191,INC,12234,BSP,1630.0,SUCI,1026.0,261682,218303,111884,86478,AISF,9596,CPI(M),5260,IND,2713,241720,229948,126170,115546,4,-0.41,-0.46
132,Sagar,South 24 Parganas,261343,225955,119070,87058,CPIM,13896,INC,2855,IND,945,274715,239067,129000,99154,CPI(M),9096,SUCI,792.0,,,285244,235818,120963,102248,CPI(M),7409,IND,2080,AISF,1180,274103,255711,143904,130199,0,-0.56,-1.06
133,Kulpi,South 24 Parganas,208432,174482,90512,64824,CPIM,10560,INC,5701,IND,866,220144,193130,96577,62759,RSSCMJP,29961,SUCI,1191.0,IND,957.0,232589,189406,92773,60727,AISF,24729,CPI(M),6747,IND,2257,216620,206699,112797,103818,5,-0.4,-0.54
134,Raidighi,South 24 Parganas,261449,220752,104261,91342,CPIM,16123,SUCI(C),3158,INC,2445,273558,238720,115707,80139,CPI(M),36931,SUCI,2862.0,IND,824.0,287666,235608,113701,92764,AISF,13444,CPI(M),8568,IND,2785,267846,256329,139455,128386,5,-0.5,-0.99
135,Mandirbazar,South 24 Parganas,219218,185018,93819,72595,CPIM,12496,INC,2163,IND,1051,229129,199490,95834,72342,RSSCMJP,25397,IND,1439.0,SUCI,1117.0,239715,199154,93939,73528,AISF,15549,CPI(M),10810,IND,2332,222090,212029,115580,106506,4,-0.53,-0.63
136,Jaynagar,South 24 Parganas,228100,185028,89672,73095,SUCI(C),7808,RSP,7373,INC,3949,239968,202431,104952,66269,CPI(M),17368,SUCI,9423.0,IND,1435.0,252529,201686,111757,69467,RSP,5848,SUCI,5005,AISF,4436,227238,213876,118512,108720,6,-0.3,-0.29
137,Baruipur Purba,South 24 Parganas,245552,204929,99719,72214,CPIM,23793,IND,3213,SUCI(C),1846,265091,225114,123243,73602,CPI(M),21467,IND,2029.0,SUCI,1525.0,285456,224341,118938,70162,CPI(M),22606,IND,5047,AISF,4344,245106,232753,126745,118350,11,-0.15,-0.17
138,Canning Paschim,South 24 Parganas,241032,199710,102402,77056,RSP,10923,SUCI(C),3282,INC,2026,257681,218354,111059,75816,IND,14576,INC,11908.0,SUCI,1963.0,269116,222158,132888,63026,AISF,14867,IND,3853,RSP,2890,238236,229731,123786,114439,11,-0.32,-0.11
139,Canning Purba,South 24 Parganas,239491,206273,166897,23724,RSP,7375,INC,2280,SUCI(C),2009,262349,232766,122301,34503,RSSCMJP,69294,SUCI,2686.0,IND,1715.0,276280,230565,184569,18345,AISF,17516,IND,5195,RSP,1342,246673,241000,129566,117083,24,-0.16,-0.06
140,Baruipur Paschim,South 24 Parganas,232897,191348,94359,59327,CPIM,30969,IND,2608,PDS,749,253749,211293,121006,59096,CPI(M),25639,IND,3104.0,BSP,912.0,275871,213434,105413,65165,CPI(M),34383,IND,3714,AISF,2412,233097,220253,116620,116455,22,-0.14,-0.17
141,Magrahat Purba,South 24 Parganas,228747,188739,99951,62307,RSP,15832,INC,6306,BSP,1011,242530,206153,110945,56866,CPI(M),33822,IND,1831.0,SUCI,1209.0,252070,204011,109810,62939,RSP,20646,AISF,3716,IND,3089,232589,220587,122770,109817,2,-0.27,-0.35
142,Magrahat Paschim,South 24 Parganas,214463,173113,99511,48420,CPIM,12429,INC,9026,IND,1545,229437,194282,97006,50065,RSSCMJP,40685,IND,3113.0,SUCI,615.0,239029,187879,104337,47336,AISF,17457,CPI(M),12881,IND,3279,217022,204413,113942,103074,6,-0.22,-0.29
143,Diamond Harbour,South 24 Parganas,241842,206451,109134,73673,CPIM,16904,INC,2046,IND,1208,255132,225397,98478,81482,CPI(M),38719,IND,3538.0,BSP,1088.0,265214,213296,147343,43176,AISF,9918,CPI(M),7360,IND,2639,245097,231028,125553,119541,3,-0.33,-0.17
144,Falta,South 24 Parganas,225867,195930,114689,70912,CPIM,5456,INC,1136,IND,1127,236768,207932,117179,76405,INC,7452,IND,4935.0,BSP,776.0,245284,206133,183635,15263,CPI(M),2315,AISF,1611,IND,1434,236444,213509,121300,115135,9,-0.14,-0.04
145,Satgachhia,South 24 Parganas,258632,220278,111540,86761,CPIM,14943,INC,1704,IND,1458,270193,235546,118635,95317,CPI(M),16220,SUCI,1625.0,BSP,1379.0,278810,233835,136067,75449,CPI(M),13537,AISF,3200,IND,2497,256251,237929,132022,124220,9,-0.1,-0.07
146,Bishnupur,South 24 Parganas,264619,216472,117617,73529,CPIM,16642,INC,3070,IND,1455,278650,237570,136509,77677,CPI(M),17995,BSP,2709.0,IND,817.0,291211,237394,140709,69557,CPI(M),16439,AISF,4105,IND,3084,260993,242306,137741,130512,13,-0.08,-0.07
147,Sonarpur Dakshin,South 24 Parganas,268521,213432,88354,73800,CPIM,43550,IND,2464,BSP,855,288263,232807,109222,83041,CPI,31778,IND,4021.0,BSP,1110.0,298767,233135,97628,87909,CPI(M),40696,IND,3413,BSP,758,268266,247663,128960,132016,17,-0.57,-1.49
148,Bhangar,South 24 Parganas,251995,215705,146723,24963,CPIM,34758,IND,4538,PDS,1251,271897,242185,83086,38726,RSSCMJP,109237,CPIM,4930.0,IND,2026.0,287329,243067,116486,29211,AISF,75004,CPI(M),10259,IND,9936,272711,263930,142681,130016,14,,-0.5
149,Kasba,South 24 Parganas,281202,203187,98535,63894,CPIM,29582,INC,5773,IND,2017,306266,223154,121372,57750,CPI(M),39180,IND,1703.0,SUCI,673.0,317894,225143,118379,71529,CPI(M),29641,IND,2879,BSP,669,265616,239293,131451,134158,7,-0.25,-0.3
150,Jadavpur,South 24 Parganas,285347,204344,80670,48696,CPIM,68515,IND,1099,PDS,604,299818,215419,98100,53139,CPI(M),59231,IND,1185.0,BSP,649.0,306713,210014,81897,64048,CPI(M),59987,IND,1625,SUCI,557,260821,229183,124529,136288,4,-0.35,-1.07
151,Sonarpur Uttar,South 24 Parganas,274581,216902,100167,67796,CPIM,41159,IND,2754,PDS,814,300330,240495,119957,83867,CPI(M),29400,IND,3801.0,BSP,1356.0,316588,245910,116671,84031,CPI(M),38164,IND,3871,BSP,710,273219,254503,135666,137535,18,-0.39,-0.26
152,Tollyganj,South 24 Parganas,257964,188166,77781,45814,CPIM,58816,IND,1075,BSP,500,269713,197365,101440,51360,CPI(M),40597,IND,1204.0,SUCI,454.0,263527,188306,77016,56781,CPI(M),50856,IND,1471,SUCI,457,229994,203039,110663,119323,8,-0.11,-0.73
153,Behala Purba,South 24 Parganas,288039,206212,89341,73483,CPIM,32794,INC,4915,IND,1770,308285,221872,110968,73540,CPI(M),30172,IND,2519.0,BSP,1175.0,313669,215137,97125,81899,CPI(M),30471,IND,2679,BSP,743,259752,230686,126011,133735,6,-0.24,-1.02
154,Behala Paschim,South 24 Parganas,295727,217443,91216,75051,CPIM,39836,INC,5262,IND,1736,313198,231816,114778,63894,CPI(M),47509,IND,2340.0,BSP,862.0,318301,220148,96209,81013,CPI(M),37507,IND,2223,SUCI,655,266173,231384,128607,137562,4,0.01,-0.74
155,Maheshtala,South 24 Parganas,252903,197986,98092,69252,CPIM,21276,INC,4633,IND,932,271007,219969,124008,66059,CPI(M),25276,IND,1739.0,BSP,838.0,277441,218960,130063,60525,CPI(M),22105,IND,2301,BSP,1052,243365,227230,122964,120390,11,-0.13,-0.12
156,Budge Budge,South 24 Parganas,241629,199356,119675,63118,CPIM,9411,INC,2388,IND,1118,256136,216892,122357,77643,INC,10809,IND,1901.0,BSP,932.0,261771,216237,159780,41942,CPI(M),8087,IND,2565,AISF,1066,229907,216159,117406,112495,6,0.02,0.0
157,Metiaburuz,South 24 Parganas,233698,171514,119978,32802,CPIM,9201,INC,4842,IND,1000,256315,196582,151066,31462,RSSCMJP,7389,IND,1499.0,AMB,829.0,261821,198368,145896,30156,CPI(M),16664,IND,2320,BSP,985,189494,179640,100723,88768,3,0.14,0.16
158,Kolkata Port,Kolkata South,223156,144636,82102,45863,INC,8941,CPIM,3976,IND,1905,235933,152443,105543,36989,INC,5590,IND,1858.0,BSP,748.0,238851,152803,84816,41923,CPI(M),21904,IND,2493,BSP,539,171615,153904,91335,80275,5,-0.02,-0.03
159,Bhabanipur,Kolkata South,200938,136091,61137,57969,CPIM,8700,INC,4662,IND,1222,206389,127376,73505,44786,INC,5211,IND,1740.0,BSP,564.0,205553,133889,62461,54164,CPI(M),14006,IND,1505,BSP,409,160313,139055,81108,79199,6,-0.41,-0.62
160,Rashbehari,Kolkata South,199120,135529,52555,57976,CPIM,16364,INC,4392,IND,1342,206013,124455,65704,44290,INC,10314,IND,1546.0,SUCI,546.0,202777,132631,57905,56214,CPI(M),15003,IND,1574,BSP,377,158406,137148,76263,82137,6,-0.59,-2.67
161,Ballygunge,Kolkata South,240668,161138,97302,42850,INC,8591,CPIM,8518,IND,1440,247662,150962,106585,31226,CPI(M),8474,IND,1309.0,BSP,812.0,253070,158674,95830,39717,CPI(M),19239,IND,1817,BSP,596,188839,166480,96205,92627,7,-0.21,-0.14
162,Chowrangee,Kolkata North,202503,118261,65445,38885,INC,6439,CPIM,4460,IND,1100,208201,111493,70101,24757,INC,14266,IND,533.0,BSP,264.0,209713,116191,55031,40386,INC,18285,IND,655,SUCI,421,126349,109418,67355,58989,5,0.05,0.46
163,Entally,Kolkata North,215405,156140,89711,48391,CPIM,8137,INC,4525,IND,2657,230814,156874,101709,43452,RSSCMJP,4354,IND,4225.0,BSP,827.0,236126,167135,83446,54137,INC,24305,IND,1920,BSP,653,178877,164585,91760,87109,8,-0.13,0.09
164,Beleghata,Kolkata North,242623,165014,97583,46681,CPIM,10767,INC,3847,IND,3081,250881,158506,103182,36042,CPI(M),14045,IND,2542.0,BSP,757.0,253802,168534,92643,46531,INC,24706,IND,1342,BSP,644,190599,173083,97037,93556,6,-0.22,-0.1
165,Jorasanko,Kolkata North,191912,110246,47265,51147,CPIM,6020,INC,3225,IND,911,197950,98955,52123,39380,INC,4769,IND,835.0,BSP,412.0,197388,105767,41893,49294,INC,12293,IND,582,SUCI,369,122686,106393,65654,57032,0,-0.58,
166,Shyampukur,Kolkata North,172030,115437,46735,48905,CPIM,13569,INC,2482,IND,1188,176557,102970,55785,33265,AIFB,10828,IND,1620.0,SJSMP,409.0,176652,110607,48063,49662,INC,9528,IND,777,SUCI,470,131819,116093,66449,65363,7,-0.58,
167,Maniktala,Kolkata North,201736,142400,61134,60273,CPIM,13522,INC,2339,IND,1892,211308,132967,67577,47339,CPI(M),13513,IND,1838.0,BSP,669.0,210464,144232,66964,63389,INC,9421,IND,1066,SUCI,693,165906,149780,83022,82876,8,-0.83,-1.55
168,Kashipur-belgachhia,Kolkata North,217873,141955,66617,53025,CPIM,14373,INC,3215,IND,1953,223714,134872,76182,40792,CPI(M),14757,IND,1025.0,BSP,539.0,221541,143000,65137,57869,INC,16018,IND,1017,SUCI,515,167936,149480,85715,82219,2,-0.41,-0.89
169,Bally,Howrah,166106,122415,51951,51656,CPIM,13125,INC,2580,IND,1833,176197,125873,53347,47110,CPI(M),22040,IND,1728.0,SUCI,442.0,176155,119036,52906,46414,CPI(M),16217,IND,1228,BSP,644,133573,116022,68826,64743,4,1.58,0.46
170,Howrah Uttar,Howrah,205667,144233,64056,67017,CPIM,6645,INC,3133,IND,2451,218547,149720,71575,66053,CPI(M),8133,IND,1849.0,HAMS,251.0,224870,142259,69826,59795,CPI(M),8936,IND,1510,BSP,825,149948,132344,78911,71029,8,3.15,0.99
171,Howrah Madhya,Howrah,251112,183713,87747,69673,CPIM,14431,INC,6717,IND,3050,266542,195144,111554,65007,INC,12942,IND,1923.0,JD(U),545.0,269095,189449,94136,68821,CPI(M),21264,IND,1768,BSP,770,214821,192136,109112,105707,2,0.06,-0.11
172,Shibpur,Howrah,221803,171663,75355,66644,CPIM,19933,INC,4748,IND,2838,233676,182219,92372,59769,AIFB,24970,IND,2595.0,SUCI,601.0,238061,176502,79464,65258,CPI(M),26171,IND,1997,BSP,822,194963,179990,96193,98766,4,0.07,-0.25
173,Howrah Dakshin,Howrah,278682,204309,97699,73115,CPIM,22033,INC,5136,IND,3967,294243,216940,116839,66270,CPI(M),27287,IND,2620.0,JD(U),654.0,302518,211598,102763,73091,CPI(M),29236,IND,2408,BSP,1064,240607,220155,121230,119375,2,-0.06,-0.29
174,Sankrail,Howrah,260000,201061,96124,75019,CPIM,18445,INC,5275,IND,4611,277076,222127,111888,71461,CPI(M),34144,IND,2784.0,,,285210,217337,103109,76250,CPI(M),32406,IND,2354,BSP,958,240252,228119,123503,116742,7,-0.15,-0.4
175,Panchla,Howrah,250555,193965,103567,69332,CPIM,10809,IND,4753,INC,4499,266183,217009,104572,71821,RSSCMJP,35576,AMB,1411.0,IND,1218.0,274064,212673,123025,66367,CPI(M),17253,IND,2863,BSP,1259,248497,232593,130039,118455,3,-0.48,-0.35
176,Uluberia Purba,Howrah,220532,178778,86179,66391,CPIM,17353,INC,5103,IND,1428,233764,193021,86526,69400,RSSCMJP,30458,IND,3293.0,IUC,1233.0,241689,189328,91924,67498,INC,19260,AISF,4955,IND,2248,218481,205962,111655,106817,9,-0.76,-0.68
177,Uluberia Uttar,Howrah,215014,170018,82871,68888,CPIM,10783,INC,3534,IND,1727,224423,185780,91501,70498,CPI(M),19292,IND,3241.0,,,233409,182229,89361,71358,INC,8116,AISF,7426,IND,2440,214671,202284,112157,102511,3,-0.79,-1.11
178,Uluberia Dakshin,Howrah,226475,185305,96445,71498,CPIM,10574,INC,2255,IND,1760,237620,202266,101880,73442,AIFB,21110,IND,2171.0,SUCI,1165.0,248514,200163,103696,70563,AISF,10107,INC,9303,IND,2639,237057,225228,122513,114530,14,-0.81,-0.76
179,Shyampur,Howrah,250345,204651,107867,76573,CPIM,11693,INC,4717,IND,1397,257593,221889,114804,83293,INC,20408,IND,1240.0,SUCI,1002.0,266443,218363,113532,83619,INC,9981,AISF,5846,IND,2065,259278,239988,132356,126919,3,-0.57,-0.72
180,Bagnan,Howrah,222779,187499,109070,60776,CPIM,10629,INC,3684,IND,1454,231216,199935,106042,75922,CPI(M),14555,IND,1404.0,SUCI,464.0,239847,197516,107616,69143,INC,10921,AISF,4001,IND,2360,230578,216928,117902,112672,4,-0.56,-0.5
181,Amta,Howrah,252352,195159,104259,66785,CPIM,13763,INC,6314,IND,1883,261881,208810,102445,76240,INC,25109,IND,2575.0,SUCI,1139.0,270226,204012,101868,74370,INC,15984,AISF,5417,IND,2609,256982,232723,132837,124140,5,-0.91,-1.04
182,Udaynarayanpur,Howrah,227491,188607,107926,68105,CPIM,6354,IND,2083,INC,1948,235467,198211,101510,87512,INC,5178,IND,2791.0,,,242260,195401,114589,68060,INC,4739,IND,2941,AISF,1219,229091,212459,117276,111815,0,-1.02,-0.37
183,Jagatballavpur,Howrah,272392,218582,100571,88641,CPIM,18449,INC,5168,IND,1845,288158,235721,116562,87366,RSSCMJP,25362,IUC,1972.0,IND,1690.0,298107,235513,113092,86482,CPI(M),20433,AISF,10039,IND,2590,270806,251552,139266,131534,6,-0.54,-0.6
184,Domjur,Howrah,276087,226750,125410,70377,CPIM,21674,INC,3829,IND,1610,299250,250978,130499,87879,CPI(M),22768,IND,6450.0,BNARP,1300.0,310830,245833,129382,70669,CPI(M),36768,AISF,2975,IND,2856,269236,253082,136227,133003,6,-0.05,-0.12
185,Uttarpara,Hooghly,249372,192220,75438,71947,CPIM,34223,INC,4595,IND,1298,259814,199894,93878,57889,CPI(M),42718,CPI(ML)(L),1223.0,IND,833.0,261786,195674,74618,65578,CPI(M),50328,IND,1623,BSP,502,228272,204144,112794,115473,5,-0.12,-0.94
186,Sreerampur,Hooghly,239344,178493,72823,75326,CPIM,19223,INC,5746,IND,1326,252758,188081,93021,69588,INC,19401,IND,1989.0,BAHUMP,914.0,255577,184874,71927,64106,CPI(M),42033,AISF,2054,IND,1838,205662,185116,104186,101472,4,0.13,-0.03
187,Champdani,Hooghly,248706,190702,80930,79071,CPIM,19292,INC,5574,IND,1584,263372,201131,100972,70894,INC,23272,IND,1856.0,BAHUMP,790.0,263853,196675,80759,72168,CPI(M),38206,IND,2083,BSP,539,221952,202931,110910,111032,10,-0.06,-0.73
188,Singur,Hooghly,241253,200580,82748,93177,CPIM,17632,INC,2042,SUCI(C),912,246867,209938,101077,75154,CPI(M),30016,SUCI,1346.0,,,251585,210417,102740,83914,CPI(M),17769,IND,2517,BSP,688,237388,221151,119289,118093,6,-0.43,-0.57
189,Chandannagar,Hooghly,223156,171876,71196,68321,CPIM,23460,INC,3550,IND,770,229572,182178,86778,55749,CPI(M),33702,IND,2926.0,,,235045,180716,79222,72758,CPI(M),23209,IND,2173,BSP,508,203451,185039,100183,103262,6,-0.09,-0.67
190,Chunchura,Hooghly,304263,247038,95587,116603,CPIM,22797,INC,4717,SUCI(C),1313,314274,254737,117104,98687,AIFB,28777,IND,2622.0,BSP,1328.0,318349,253081,104496,112760,CPI(M),27945,IND,3345,BSP,751,275715,252059,136134,139570,11,0.15,
191,Balagarh,Hooghly,249662,211072,76121,110175,CPIM,15163,INC,3731,SUCI(C),1472,258955,219957,100364,94580,CPI(M),19766,SUCI,2142.0,,,263064,219452,95465,101412,CPI(M),15359,IND,3578,BNJD,584,240088,224674,122092,117990,6,-0.82,
192,Pandua,Hooghly,259914,215300,89181,89883,CPIM,25141,INC,4459,CPI(ML)(L),1611,270503,223664,102874,71016,CPI(M),41474,SUCI,1982.0,BSP,1650.0,276122,224433,106193,80407,CPI(M),30041,IND,3666,BSP,733,249081,232517,124729,124345,7,-0.28,-0.31
193,Saptagram,Hooghly,225496,184826,72807,94392,CPIM,9377,INC,3007,SUCI(C),1199,234840,192190,93328,83556,INC,8332,IND,3937.0,,,238146,191592,85268,87760,CPI(M),12321,IND,3075,BSP,617,210370,195371,106484,103881,5,-0.33,
194,Chanditala,Hooghly,252703,194676,88101,70885,CPIM,24892,INC,5200,IND,1828,263257,207106,103118,61771,CPI(M),37161,IND,2900.0,,,272486,205435,99001,63651,CPI(M),31562,AISF,5502,IND,2783,246543,226672,125034,121506,3,-0.47,-0.6
195,Jangipara,Hooghly,246868,198619,93958,82026,CPIM,14297,INC,2362,IND,2128,257025,210411,101885,83959,RSSCMJP,17756,IND,3771.0,,,265617,207834,103086,75066,CPI(M),18801,AISF,4609,IND,3227,251069,230833,128123,122942,4,-1.14,-0.82
196,Haripal,Hooghly,260044,211046,95295,85731,CPIM,20497,INC,3412,RAJSP,1028,269649,220774,110215,87143,RSSCMJP,15795,BSP,2132.0,SUCI,2122.0,274484,221602,115371,82912,CPI(M),16776,IND,3131,BSP,523,264175,244124,133319,130853,3,-1.01,-0.69
197,Dhanekhali,Hooghly,262857,224776,109842,97480,CPIM,7759,INC,3823,CPI(ML)(L),1462,271518,233838,124776,94617,INC,9033,CPI(ML)(L),3230.0,,,277792,232257,126736,84856,CPI(M),12606,IND,4232,BSP,816,262689,245719,131462,131225,2,-0.39,-0.32
198,Tarakeswar,Hooghly,232456,197194,88096,83753,CPIM,15747,INC,3372,RAJSP,1051,239820,205917,96698,89214,CPI(M),14595,RPPRINAT,1697.0,IND,961.0,244468,206193,97685,86517,CPI(M),15436,IND,3396,BSP,469,235441,219431,118073,117363,5,-1.81,-1.19
199,Pursurah,Hooghly,251928,211569,81917,107759,CPIM,10887,INC,3584,RAJSP,1531,259988,223074,91156,119334,INC,7828,IND,1968.0,,,268593,223427,91744,114636,CPI(M),9585,IND,3888,BSP,522,259590,239056,132393,127196,1,,
200,Arambag,Hooghly,246937,206340,93883,89876,CPIM,11643,INC,3547,RAJSP,1308,257621,219960,95936,103108,CPI(M),14965,BSP,2780.0,,,265598,217541,98847,98301,CPI(M),12846,IND,3826,BSP,567,253260,234341,128700,124558,2,,-30.77
201,Goghat,Hooghly,238958,207676,87217,95284,CPIM,14947,INC,3434,RAJSP,1169,246570,219545,98080,102227,AIFB,14378,BSP,2378.0,,,254688,219873,96864,102750,CPI(M),13554,IND,3529,BSP,611,248076,232720,126697,121378,1,,
202,Khanakul,Hooghly,266130,202404,96405,82183,CPIM,11825,INC,4236,RAJSP,1599,277259,217991,94519,107403,RSSCMJP,8732,IND,4059.0,,,287059,215294,90043,107165,CPI(M),10977,IND,3560,BSP,534,268570,235885,138468,130098,4,,
259,Khandaghosh,Purba Bardhaman,234923,204812,102494,71500,CPIM,20118,INC,3809,IND,1948,242730,217897,104264,83378,CPI(M),22923,BSP,3465.0,BMUP,1923.0,250176,216009,111231,73585,CPI(M),25504,SUCI,1996,IND,996,233679,221761,118049,115630,0,-0.19,-0.15
260,Bardhaman Dakshin,Purba Bardhaman,248732,198039,85301,83963,CPIM,18848,INC,4616,BSP,1843,257940,205345,91015,82910,CPI(M),23346,BSP,1455.0,NRPI,983.0,258097,201809,92692,85404,CPI(M),18341,IND,1113,BSP,680,221961,201607,108647,113310,4,0.46,0.03
261,Raina,Purba Bardhaman,248320,214276,113180,58331,CPIM,33510,INC,4392,BSP,1366,258742,229166,108752,90547,CPI(M),25332,BSP,1871.0,BMUP,1101.0,264906,224348,114862,71297,CPI(M),32404,SUCI,1621,BSP,1266,246060,231493,124871,121186,3,-0.13,-0.16
262,Jamalpur,Purba Bardhaman,229318,195440,81941,78257,CPIM,26007,INC,4267,BSP,1352,235973,206690,96999,79028,CPI(M),23298,BSP,2024.0,BMUP,1291.0,241887,206248,105306,68938,CPI(M),26536,SUCI,1437,BSP,1109,225468,213541,114250,111213,5,-0.38,-0.2
263,Monteswar,Purba Bardhaman,233628,196622,95202,67166,CPIM,23435,INC,6533,BSP,1739,242229,209036,105460,73655,CPI(M),24740,CPI(ML)(L),1877.0,PDS,1693.0,249064,207214,113438,67696,CPI(M),21060,IND,1112,BSP,856,216764,202804,109788,106971,5,0.2,0.1
264,Kalna,Purba Bardhaman,234826,199822,86357,82724,CPIM,19661,INC,6925,BSP,1085,241471,208951,96073,88595,CPI(M),19005,BSP,2084.0,SUCI,687.0,247415,205171,94368,84209,CPI(M),20841,SUCI,1412,BSP,1017,226370,211565,115511,110854,5,-0.35,-0.63
265,Memari,Purba Bardhaman,245694,208150,86282,81383,CPIM,28780,INC,7069,BSP,1268,254236,218802,104851,81773,CPI(M),25618,BSP,2121.0,BMUP,1737.0,257375,214438,106306,73475,CPI(M),28870,SUCI,1534,BSP,1210,239601,226111,120690,118905,6,-0.32,-0.36
266,Bardhaman Uttar,Purba Bardhaman,262127,226632,108663,80617,CPIM,25373,INC,5110,BSP,3009,277026,241925,111211,93943,CPI(M),31028,BSP,3347.0,,,285405,240880,123368,82123,CPI(M),28051,IND,1633,BSP,1058,260360,245832,129891,130468,1,-0.23,-0.12
267,Bhatar,Purba Bardhaman,238188,203819,99383,72919,CPIM,21427,INC,4496,BSP,2323,246694,214168,108028,76287,CPI(M),19607,IND,3845.0,BSP,1575.0,255493,214189,109501,77081,CPI(M),21051,IND,1607,BSP,1125,226642,213497,113735,112907,0,0.02,0.02
268,Purbasthali Dakshin,Purba Bardhaman,240479,205104,100240,78332,CPIM,17836,INC,4971,BSP,1036,248533,215353,105698,88288,INC,15061,BSP,3105.0,PMPT,1639.0,253983,209835,102656,81294,CPI(M),21021,SUCI,1383,BSP,950,232577,218692,120297,112279,1,-0.19,-0.41
269,Purbasthali Uttar,Purba Bardhaman,242374,202853,85174,82469,CPIM,26763,INC,4058,BSP,1234,252626,212343,92421,85715,CPI(M),28134,BSP,1907.0,PMPT,1675.0,261976,210597,92612,89374,CPI(M),23112,SUCI,1292,BSP,967,239480,223171,125849,113625,6,-1.61,-3.88
